sa2_code,sa2_label,sa2_name_geo,state_name,gccsa_name,lat,lon,digital_jobs,digital_businesses,digital_job_share,digital_job_share_pct,digital_business_share,digital_business_share_pct,digital_income_weighted,digital_income_premium,jobs_per_digital_business,digital_solo_share,digital_solo_share_pct,digital_large_employer_share,digital_large_employer_share_pct,gender_income_gap,female_employment_share,ecosystem_category
101021008,Karabar,Karabar,New South Wales,Rest of NSW,-35.37594075471599,149.23280103943569,554.0,45.0,0.078303886925795,7.8303886925795,0.1068883610451306,10.68883610451306,66088.29602888087,20931.637795665323,12.311111111111112,0.5111111111111111,51.11111111111111,0.0,0.0,12544.5,0.4773686229382431,lower digital concentration
101021009,Queanbeyan,Queanbeyan,New South Wales,Rest of NSW,-35.351029889430166,149.2254629117638,857.0,90.0,0.0770406328658755,7.70406328658755,0.1,10.0,56753.53325554259,16697.72437384536,9.522222222222222,0.5555555555555556,55.55555555555556,0.0444444444444444,4.444444444444439,6850.0,0.4667916443492234,lower digital concentration
101021012,Queanbeyan West - Jerrabomberra,Queanbeyan West - Jerrabomberra,New South Wales,Rest of NSW,-35.37757834380731,149.20284935472026,1248.0,165.0,0.1120086160473882,11.200861604738819,0.1783783783783784,17.83783783783784,80476.62980769231,25043.922887929257,7.5636363636363635,0.503030303030303,50.303030303030305,0.0181818181818181,1.8181818181818101,19482.0,0.4925745515029108,high-income specialist
101021610,Googong,Googong,New South Wales,Rest of NSW,-35.42803782261043,149.23418949327598,718.0,71.0,0.122275204359673,12.2275204359673,0.2253968253968254,22.53968253968254,85860.28969359331,20062.477874792225,10.112676056338028,0.4788732394366197,47.88732394366197,0.0,0.0,28886.0,0.5087837837837837,digitally specialised
101021611,Queanbeyan Surrounds,Queanbeyan Surrounds,New South Wales,Rest of NSW,-35.44351635092708,149.39190207276337,1482.0,302.0,0.1133287451250286,11.33287451250286,0.169187675070028,16.918767507002798,79379.00910931174,25017.1058822719,4.9072847682119205,0.4536423841059602,45.364238410596016,0.0132450331125827,1.32450331125827,14701.5,0.4860202824376836,high-income specialist
101031016,Jindabyne - Berridale,Jindabyne - Berridale,New South Wales,Rest of NSW,-36.49140971019844,148.6090619409516,617.0,110.0,0.0702973681212259,7.02973681212259,0.0935374149659864,9.35374149659864,22503.401944894653,2799.663879496453,5.609090909090909,0.5818181818181818,58.18181818181818,0.0,0.0,8214.5,0.4788807699162359,lower digital concentration
101041020,Bega-Eden Hinterland,Bega-Eden Hinterland,New South Wales,Rest of NSW,-36.927583834529656,149.71950705513203,340.0,101.0,0.0539939653803398,5.39939653803398,0.0986328125,9.86328125,28986.098529411764,1116.5294488972322,3.366336633663366,0.594059405940594,59.4059405940594,0.0,0.0,9826.0,0.4876811594202898,lower digital concentration
101041025,Merimbula - Tura Beach,Merimbula - Tura Beach,New South Wales,Rest of NSW,-36.900174777939085,149.88213232363015,447.0,107.0,0.058638331365604,5.8638331365604,0.0994423791821561,9.94423791821561,35037.775167785236,6099.357287685536,4.177570093457944,0.4672897196261682,46.728971962616825,0.02803738317757,2.803738317757,11869.5,0.5022332506203474,lower digital concentration
101051539,Goulburn,Goulburn,New South Wales,Rest of NSW,-34.75057632288144,149.71958902568684,799.0,166.0,0.0423670396097354,4.23670396097354,0.0959537572254335,9.59537572254335,40649.82102628285,3456.973208264928,4.813253012048193,0.5180722891566265,51.80722891566265,0.0180722891566265,1.8072289156626498,16865.5,0.4879443921511838,lower digital concentration
101051540,Goulburn Surrounds,Goulburn Surrounds,New South Wales,Rest of NSW,-34.51586308819173,149.60389878661212,569.0,132.0,0.0585571678501595,5.85571678501595,0.0638297872340425,6.382978723404251,43752.565905096664,9192.91421218733,4.3106060606060606,0.4924242424242424,49.242424242424235,0.0,0.0,16067.5,0.4777902202314296,lower digital concentration
101061542,Yass Surrounds,Yass Surrounds,New South Wales,Rest of NSW,-34.876409589130056,148.89321672924453,1095.0,240.0,0.1089010442565887,10.890104425658869,0.1192842942345924,11.92842942345924,76871.82648401827,31220.78207824999,4.5625,0.6125,61.25000000000001,0.0,0.0,14525.0,0.4931657310226996,high-income specialist
102011028,Avoca Beach - Copacabana,Avoca Beach - Copacabana,New South Wales,Greater Sydney,-33.47540703985962,151.43018177566537,636.0,162.0,0.1073236584542693,10.73236584542693,0.2012422360248447,20.12422360248447,49728.73584905661,11711.52002050446,3.925925925925926,0.5493827160493827,54.93827160493827,0.0,0.0,25883.0,0.5036262798634812,digitally specialised
102011029,Box Head - MacMasters Beach,Box Head - MacMasters Beach,New South Wales,Greater Sydney,-33.508521412584656,151.38476864089915,917.0,198.0,0.1251706251706251,12.517062517062511,0.1997981836528758,19.97981836528758,47648.775354416575,8948.18355807478,4.6313131313131315,0.5252525252525253,52.52525252525253,0.0,0.0,23052.5,0.4997505404955928,digitally specialised
102011030,Calga - Kulnura,Calga - Kulnura,New South Wales,Greater Sydney,-33.33963146945908,151.17530200123562,279.0,100.0,0.080775911986103,8.0775911986103,0.0825763831544178,8.25763831544178,51281.93548387097,15702.19214281712,2.79,0.55,55.00000000000001,0.03,3.0,10447.5,0.4569493711705901,lower digital concentration
102011031,Erina - Green Point,Erina - Green Point,New South Wales,Greater Sydney,-33.42323106668214,151.40250960487032,970.0,293.0,0.1030380284682388,10.30380284682388,0.1627777777777777,16.277777777777768,57128.03711340206,19565.282917523586,3.310580204778157,0.5017064846416383,50.170648464163826,0.0136518771331058,1.36518771331058,20076.0,0.505725447932103,digitally specialised
102011032,Gosford - Springfield,Gosford - Springfield,New South Wales,Greater Sydney,-33.42524679986168,151.34789444324164,1561.0,371.0,0.0849616284765688,8.49616284765688,0.1486378205128205,14.863782051282051,54681.36450992953,19845.503246118504,4.2075471698113205,0.4716981132075472,47.16981132075472,0.0188679245283018,1.8867924528301798,11523.0,0.4939611680171227,emerging growth corridor
102011035,Narara,Narara,New South Wales,Greater Sydney,-33.39608313427166,151.3342203541456,528.0,59.0,0.0912232204561161,9.12232204561161,0.1745562130177514,17.45562130177514,52190.58522727273,13858.46040004398,8.94915254237288,0.5254237288135594,52.54237288135594,0.0,0.0,19825.0,0.5048431734317343,digitally specialised
102011036,Niagara Park - Lisarow,Niagara Park - Lisarow,New South Wales,Greater Sydney,-33.384268958043876,151.37282613655574,618.0,83.0,0.0959180505975477,9.591805059754769,0.1599229287090559,15.992292870905588,54098.16504854369,13440.04825512448,7.445783132530121,0.5180722891566265,51.80722891566265,0.0,0.0,19229.0,0.5034,digitally specialised
102011037,Point Clare - Koolewong,Point Clare - Koolewong,New South Wales,Greater Sydney,-33.44817354381919,151.31632563142108,546.0,101.0,0.1191619380183326,11.91619380183326,0.2657894736842105,26.57894736842105,55867.357142857145,14545.682983101578,5.405940594059406,0.5742574257425742,57.42574257425742,0.0297029702970297,2.9702970297029703,22988.0,0.4928989139515455,digitally specialised
102011039,Terrigal - North Avoca,Terrigal - North Avoca,New South Wales,Greater Sydney,-33.44517460645602,151.4276124034359,1174.0,292.0,0.1028381219341275,10.28381219341275,0.1913499344692005,19.134993446920053,61084.69165247019,21106.3851090224,4.02054794520548,0.5308219178082192,53.082191780821915,0.0,0.0,20763.5,0.5015765765765766,emerging growth corridor
102011040,Umina - Booker Bay - Patonga,Umina - Booker Bay - Patonga,New South Wales,Greater Sydney,-33.52916580989523,151.2981933745507,1637.0,257.0,0.1028395527076265,10.28395527076265,0.1788448155880306,17.88448155880306,57291.75503970678,19076.690804250065,6.36964980544747,0.603112840466926,60.311284046692606,0.0116731517509727,1.1673151750972701,19166.0,0.5097418026294946,emerging growth corridor
