sa2_code,sa2_label,digital_jobs,digital_businesses,digital_job_share,digital_business_share,digital_income_weighted,digital_income_premium,jobs_per_digital_business,digital_solo_share,digital_large_employer_share,male_median_income,female_median_income,gender_income_gap,female_employment_share,ecosystem_category
101021008,Karabar,554.0,45.0,0.078303886925795,0.1068883610451306,66088.29602888087,20931.637795665323,12.311111111111112,0.5111111111111111,0.0,77747.0,65202.5,12544.5,0.4773686229382431,lower digital concentration
101021009,Queanbeyan,857.0,90.0,0.0770406328658755,0.1,56753.53325554259,16697.72437384536,9.522222222222222,0.5555555555555556,0.0444444444444444,73376.0,66526.0,6850.0,0.4667916443492234,lower digital concentration
101021012,Queanbeyan West - Jerrabomberra,1248.0,165.0,0.1120086160473882,0.1783783783783784,80476.62980769231,25043.922887929257,7.5636363636363635,0.503030303030303,0.0181818181818181,93596.0,74114.0,19482.0,0.4925745515029108,high-income specialist
101021610,Googong,718.0,71.0,0.122275204359673,0.2253968253968254,85860.28969359331,20062.477874792225,10.112676056338028,0.4788732394366197,0.0,112005.0,83119.0,28886.0,0.5087837837837837,digitally specialised
101021611,Queanbeyan Surrounds,1482.0,302.0,0.1133287451250286,0.169187675070028,79379.00910931174,25017.1058822719,4.9072847682119205,0.4536423841059602,0.0132450331125827,84901.5,70200.0,14701.5,0.4860202824376836,high-income specialist
101031016,Jindabyne - Berridale,617.0,110.0,0.0702973681212259,0.0935374149659864,22503.401944894653,2799.663879496453,5.609090909090909,0.5818181818181818,0.0,52145.5,43931.0,8214.5,0.4788807699162359,lower digital concentration
101041020,Bega-Eden Hinterland,340.0,101.0,0.0539939653803398,0.0986328125,28986.098529411764,1116.5294488972322,3.366336633663366,0.594059405940594,0.0,48152.0,38326.0,9826.0,0.4876811594202898,lower digital concentration
101041025,Merimbula - Tura Beach,447.0,107.0,0.058638331365604,0.0994423791821561,35037.775167785236,6099.357287685536,4.177570093457944,0.4672897196261682,0.02803738317757,56006.0,44136.5,11869.5,0.5022332506203474,lower digital concentration
101051539,Goulburn,799.0,166.0,0.0423670396097354,0.0959537572254335,40649.82102628285,3456.973208264928,4.813253012048193,0.5180722891566265,0.0180722891566265,68660.5,51795.0,16865.5,0.4879443921511838,lower digital concentration
101051540,Goulburn Surrounds,569.0,132.0,0.0585571678501595,0.0638297872340425,43752.565905096664,9192.91421218733,4.3106060606060606,0.4924242424242424,0.0,60000.0,43932.5,16067.5,0.4777902202314296,lower digital concentration
101061542,Yass Surrounds,1095.0,240.0,0.1089010442565887,0.1192842942345924,76871.82648401827,31220.78207824999,4.5625,0.6125,0.0,74088.0,59563.0,14525.0,0.4931657310226996,high-income specialist
102011028,Avoca Beach - Copacabana,636.0,162.0,0.1073236584542693,0.2012422360248447,49728.73584905661,11711.52002050446,3.925925925925926,0.5493827160493827,0.0,74989.0,49106.0,25883.0,0.5036262798634812,digitally specialised
102011029,Box Head - MacMasters Beach,917.0,198.0,0.1251706251706251,0.1997981836528758,47648.775354416575,8948.18355807478,4.6313131313131315,0.5252525252525253,0.0,71428.0,48375.5,23052.5,0.4997505404955928,digitally specialised
102011030,Calga - Kulnura,279.0,100.0,0.080775911986103,0.0825763831544178,51281.93548387097,15702.19214281712,2.79,0.55,0.03,54598.0,44150.5,10447.5,0.4569493711705901,lower digital concentration
102011031,Erina - Green Point,970.0,293.0,0.1030380284682388,0.1627777777777777,57128.03711340206,19565.282917523586,3.310580204778157,0.5017064846416383,0.0136518771331058,69621.0,49545.0,20076.0,0.505725447932103,digitally specialised
102011032,Gosford - Springfield,1561.0,371.0,0.0849616284765688,0.1486378205128205,54681.36450992953,19845.503246118504,4.2075471698113205,0.4716981132075472,0.0188679245283018,67196.0,55673.0,11523.0,0.4939611680171227,emerging growth corridor
